set_num,lego_info,value
1120-1,num_parts,2
1121-1,num_parts,15
1121-1,theme_id,443
1122-1,num_parts,3
1122-1,theme_id,443
1123-1,num_parts,8
1123-1,theme_id,443
1124-1,num_parts,3
1124-1,theme_id,443
1125-1,num_parts,3
1125-1,theme_id,443
1126-1,num_parts,1
1126-1,theme_id,443
1127-1,num_parts,39
1127-1,theme_id,227
1128-1,theme_id,227
1128-1,num_parts,21
1129-1,num_parts,1
1129-1,theme_id,473
1129-2,num_parts,34
1129-2,theme_id,227
113-1,num_parts,293
113-1,theme_id,469
113-2,theme_id,235
113-2,num_parts,344
1130-1,theme_id,443
1130-1,num_parts,1
1131-1,num_parts,4
1131-1,theme_id,453
1132-1,theme_id,443
1132-1,num_parts,8
1133-1,num_parts,8
1133-1,theme_id,443
1134-1,theme_id,456
1134-1,num_parts,2
1135-1,theme_id,443
1135-1,num_parts,13
1135-2,theme_id,443
1135-2,num_parts,17
1135-3,num_parts,21
1135-3,theme_id,443
1136-1,theme_id,456
1136-1,num_parts,6
1137-1,num_parts,4
1137-1,theme_id,456
1138-1,theme_id,456
1138-1,num_parts,8
1139-1,theme_id,456
1139-1,num_parts,5
114-1,num_parts,390
114-1,theme_id,469
114-2,num_parts,88
114-2,theme_id,235
1140-1,theme_id,443
1140-1,num_parts,2
1141-1,theme_id,456
1141-1,num_parts,2
1142-1,num_parts,2
1142-1,theme_id,456
1143-1,num_parts,2
1143-1,theme_id,456
1144-1,theme_id,456
1144-1,num_parts,1
1145-1,theme_id,456
1145-1,num_parts,1
1146-1,num_parts,6
1146-1,theme_id,456
1147-1,theme_id,456
1147-1,num_parts,7
1148-1,theme_id,453
1148-1,num_parts,5
1149-1,theme_id,100
1149-1,num_parts,24
1149-2,num_parts,52
1149-2,theme_id,453
115-1,num_parts,190
115-1,theme_id,469
115-2,num_parts,132
115-2,theme_id,235
1150-1,num_parts,1
1150-1,theme_id,443
1151-1,num_parts,2
1151-1,theme_id,456
1152-1,num_parts,2
1152-1,theme_id,456
1154-1,num_parts,1
1154-1,theme_id,453
116-1,num_parts,364
116-1,theme_id,235
116-2,num_parts,361
116-2,theme_id,235
1160-1,num_parts,2
1160-1,theme_id,453
1161-1,num_parts,1
1161-1,theme_id,453
1162-1,theme_id,453
1162-1,num_parts,1
1163-1,theme_id,453
1163-1,num_parts,1
1164-1,num_parts,2
1164-1,theme_id,453
1168-1,num_parts,1
1168-1,theme_id,1
1169-1,num_parts,2
1169-1,theme_id,456
117-1,num_parts,99
117-1,theme_id,235
1170-1,theme_id,456
1170-1,num_parts,2
1171-1,theme_id,443
1171-1,num_parts,5
1172-1,num_parts,5
1172-1,theme_id,443
